# 中国历史地名大辞典
# 复旦大学历史地理研究所编《中国历史地名辞典》，江西教育出版社，1986年
# https://forum.freemdict.com/t/topic/12460
# https://forum.freemdict.com/t/topic/14497
# https://github.com/rime-aca/corpus/blob/master/中國歷史地名辭典.txt
# 地名	繁体	序号	页码

大名府路		902	0040
大连云山	(大連云山)	903	0040
大鸡笼山	(大雞籠山)	904	0040
大武郡山		905	0040
大旺土司		906	0040
大金门海	(大金門海)	907	0040
大相国寺	(大相國寺)	908	0040
大庭氏库	(大庭氏庫)	909	0040
大莫门城	(大莫門城)	910	0040
大峨眉山		911	0040
大钱湖口	(大錢湖口)	912	0040
大徐巷镇	(大徐巷鎮)	913	0040
大副将沟	(大副將溝)	914	0040
大黄江口	(大黃江口)	915	0040
大落门寨	(大落門寨)	916	0040
大普恩寺		917	0040
大湖银场	(大湖銀場)	918	0040
大湾川堡	(大灣川堡)	919	0040
