# 国家地名信息库·月球地名
# https://dmfw.mca.gov.cn/moon.html
#
# 标准译名	国际通用名	地形类别

卡文迪什	Cavendish	环形山、坑
卡西尼	Cassini	环形山、坑
卡耶	Cailleux	环形山、坑
卡约里	Cajori	环形山、坑
开默林·昂内斯	Kamerlingh Onnes	环形山、坑
凯恩	Kane	环形山、坑
凯特尔	Quételet	环形山、坑
凯伊士	Kiess	环形山、坑
坎尼扎罗	Cannizzaro	环形山、坑
坎农	Cannon	环形山、坑
康格里夫	Congreve	环形山、坑
考克饶夫	Cockcroft	环形山、坑
柯克伍德	Kirkwood	环形山、坑
科尔许特	Kohlschütter	环形山、坑
科里	Cori	环形山、坑
科姆里	Comrie	环形山、坑
科斯京斯基	Kostinskiy	环形山、坑
克拉夫特	Krafft	环形山、坑
克拉索夫斯基	Krasovskiy	环形山、坑
克雷莫纳	Cremona	环形山、坑
克卢特	Klute	环形山、坑
克罗科	Crocco	环形山、坑
克罗姆林	Crommelin	环形山、坑
孔德拉秋克	Kondratyuk	环形山、坑
孔多塞	Condorcet	环形山、坑
库尔提乌斯	Curtius	环形山、坑
库格勒	Kugler	环形山、坑
库利克	Kulik	环形山、坑
拉德	Lade	环形山、坑
拉基尼	Lacchini	环形山、坑
拉卡耶	La Caille	环形山、坑
拉姆福德	Rumford	环形山、坑
拉祖莫夫	Razumov	环形山、坑
莱恩	Lane	环形山、坑
莱克塞尔	Lexell	环形山、坑
莱曼	Lyman	环形山、坑
莱伊	Ley	环形山、坑
兰利	Langley	环形山、坑
朗之万	Langevin	环形山、坑
劳里森	Lauritsen	环形山、坑
勒曼	Lehmann	环形山、坑
勒莫尼耶	Le Monnier	环形山、坑
勒特罗纳	Letronne	环形山、坑
雷亨巴赫	Reichenbach	环形山、坑
雷蒙	Raimond	环形山、坑
雷宁	Rynin	环形山、坑
里查孙	Richardson	环形山、坑
里茨	Ritz	环形山、坑
里科	Ricco	环形山、坑
列别金斯基	Lebedinskiy	环形山、坑
林德布拉德	Lindblad	环形山、坑
林德瑙	Lindenau	环形山、坑
留基伯	Leucippus	环形山、坑
罗茨利	Wrottesley	环形山、坑
罗斯兰	Rosseland	环形山、坑
洛德金	Lodygin	环形山、坑
洛夫莱斯	Lovelace	环形山、坑
洛威尔	Lowell	环形山、坑
马可尼	Marconi	环形山、坑
马克罗比乌斯	Macrobius	环形山、坑
马里纳斯	Marinus	环形山、坑
马利特	Mallet	环形山、坑
马略特	Mariotte	环形山、坑
麦比乌斯	M?bius	环形山、坑
麦凯勒	McKellar	环形山、坑
麦克劳林	MacLaurin	环形山、坑
麦奇生	Murchison	环形山、坑
梅格斯	Meggers	环形山、坑
梅里尔	Merrill	环形山、坑
梅谢尔斯基	Meshcherskiy	环形山、坑
蒙德	Maunder	环形山、坑
蒙塔纳里	Montanari	环形山、坑
米纳尔	Mineur	环形山、坑
米斯	Mees	环形山、坑
莫霍洛维奇	Mohoróvičic	环形山、坑
莫雷	Moretus	环形山、坑
莫伊谢耶夫	Moiseev	环形山、坑
穆尔	Moore	环形山、坑
内安德	Neander	环形山、坑
纳史密斯	Nasmyth	环形山、坑
纳索	Nassau	环形山、坑
奈阿尔科	Nearch	环形山、坑
尼埃普斯	Niépce	环形山、坑
努内斯	Nonius	环形山、坑
努斯尔	Nüsl	环形山、坑
诺毕尔	Nobile	环形山、坑
诺伊迈尔	Neumayer	环形山、坑
欧多克索斯	Eudoxus	环形山、坑
欧玛尔·海亚姆	Omar Khayyam	环形山、坑
帕罗特	Parrot	环形山、坑
帕内特	Paneth	环形山、坑
庞加莱	Poincaré	环形山、坑
佩列佩尔金	Perepelkin	环形山、坑
彭赛列	Poncelet	环形山、坑
彭特兰	Pentland	环形山、坑
蓬塔诺	Pontanus	环形山、坑
皮尔凯	Pirquet	环形山、坑
皮克泰	Pictet	环形山、坑
皮拉特尔	Pilâtre	环形山、坑
皮里	Peary	环形山、坑
珀金	Perkin	环形山、坑
普拉格	Prager	环形山、坑
普里斯特利	Priestley	环形山、坑
普卢默	Plummer	环形山、坑
